,Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
12349,AS,Asia,BRN,Brunei Darussalam,2019,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12350,AS,Asia,BRN,Brunei Darussalam,2019,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12351,AS,Asia,BRN,Brunei Darussalam,2019,Female,Age85_over,[85+],0,0.0,0.0,0.0
12352,NAC,North America and the Caribbean,CAN,Canada,2018,Female,Age75_79,[75-79],18,0.12758718,0.0,3.02450352
12353,NAC,North America and the Caribbean,CAN,Canada,2017,Female,Age75_79,[75-79],25,0.18474727,0.0,4.37360373
12354,NAC,North America and the Caribbean,CAN,Canada,2017,Female,Age80_84,[80-84],20,0.11122852,0.0,4.67599996
12355,NAC,North America and the Caribbean,CAN,Canada,2017,Female,Age85_over,[85+],22,0.03528695,0.0,4.18864914
12356,NAC,North America and the Caribbean,CAN,Canada,2016,Female,Age80_84,[80-84],13,0.07265411,0.0,3.06047979
12357,NAC,North America and the Caribbean,CAN,Canada,2016,Female,Age85_over,[85+],20,0.03389543,0.0,3.88687635
12358,EU,Europe,CHE,Switzerland,2016,Female,Age75_79,[75-79],16,0.52185258,0.0,10.39244469
12359,EU,Europe,CHE,Switzerland,2016,Female,Age80_84,[80-84],11,0.21231423,0.0,8.74786274
12360,EU,Europe,CHE,Switzerland,2015,Female,Age75_79,[75-79],14,0.43942247,0.0,9.26170945
12361,EU,Europe,CHE,Switzerland,2015,Female,Age80_84,[80-84],12,0.22535211,0.0,9.61877585
12362,EU,Europe,CHE,Switzerland,2015,Female,Age85_over,[85+],15,0.07819016,0.0,10.93166978
12363,CSA,Central and South America,CHL,Chile,2019,Female,Age85_over,[85+],3,0.01551911,0.0,1.74265616
12364,CSA,Central and South America,CHL,Chile,2017,Female,Age75_79,[75-79],4,0.06938422,0.0,1.87893108
